time,speed_ms,speed_kmh,motor_rpm,motor_torque,motor_power,tractive_force,rolling_resistance,drag_force,climbing_force,total_resistance,net_force,acceleration,distance,energy
22.5,23.210189024171584,83.5566804870177,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1250.4819816962704,0.0,1348.5819816962703,33.72213279389052,0.06744426558778105,0.3843207104985668,0.024627802059089637
23.0,23.240269566737805,83.6649704402561,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1254.1235719239405,0.0,1352.2235719239404,30.0805425662204,0.060161085132440804,0.3959333251462942,0.025183357614645192
23.5,23.267097299671324,83.76155027881677,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1257.3763815566408,0.0,1355.4763815566407,26.82773293352011,0.053655465867040224,0.4075601668628964,0.025738913170200748
24.0,23.29102041676196,83.84767350034306,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1260.2809973995236,0.0,1358.3809973995235,23.923117090637334,0.04784623418127467,0.41919969629200476,0.026294468725756307
24.5,23.312350571830358,83.92446205858928,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1262.8739594217643,0.0,1360.9739594217642,21.330155068396607,0.042660310136793216,0.4308505390391529,0.026850024281311863
25.0,23.331366561900353,83.99291962284127,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1265.188124420164,0.0,1363.288124420164,19.01599006999686,0.03803198013999372,0.44251146832258553,0.027405579836867422
25.5,23.34831767076718,84.05394361476185,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1267.253005623334,0.0,1365.353005623334,16.95110886682687,0.03390221773365374,0.4541813893807524,0.027961135392422978
26.0,23.363426697465165,84.1083361108746,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1269.0950877921773,0.0,1367.1950877921772,15.109026697983609,0.03021805339596722,0.4658593254728105,0.028516690947978537
26.5,23.376892693947983,84.15681369821274,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1270.7381180073437,0.0,1368.8381180073436,13.465996482817218,0.026931992965634435,0.4775444053206638,0.029072246503534092
27.0,23.388893435645436,84.20001636832357,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1272.2033727927071,0.0,1370.303372792707,12.000741697453805,0.02400148339490761,0.4892358518530621,0.029627802059089648
27.5,23.399587647592416,84.2385155313327,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1273.5099025431814,0.0,1371.6099025431813,10.694211946979522,0.021388423893959042,0.5009329721238716,0.030183357614645207
28.0,23.409117007646483,84.27282122752734,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1274.6747544360933,0.0,1372.7747544360932,9.529360054067638,0.019058720108135276,0.5126351482876813,0.030738913170200763
28.5,23.417607947003795,84.30338860921367,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1275.7131751328482,0.0,1373.813175132848,8.490939357312755,0.01698187871462551,0.5243418295263439,0.03129446872575632
29.0,23.425173266852063,84.33062376066744,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1276.6387946418913,0.0,1374.7387946418912,7.56531984826961,0.01513063969653922,0.5360525248298078,0.03185002428131188
29.5,23.431913588611234,84.35488891900044,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1277.4637927309907,0.0,1375.5637927309906,6.740321759170229,0.013480643518340458,0.5477667965436737,0.03240557983686743
30.0,23.437918653841987,84.37650715383116,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1278.1990492594068,0.0,1376.2990492594067,6.005065230754099,0.012010130461508197,0.559484254604287,0.032961135392422986
30.5,23.443268488573608,84.39576655886499,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1278.8542797585378,0.0,1376.9542797585377,5.349834731623105,0.010699669463246209,0.5712045513898909,0.033516690947978545
31.0,23.4480344455329,84.41292400391845,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1279.438157530867,0.0,1377.538157530867,4.765956959293817,0.009531913918587634,0.5829273771234175,0.034072246503534104
31.5,23.452280136555547,84.42820849159997,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1279.9584234675135,0.0,1378.0584234675134,4.2456910226474065,0.008491382045294813,0.5946524557689397,0.03462780205908966
32.0,23.45606226633681,84.44182415881252,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1280.4219847088966,0.0,1378.5219847088965,3.7821297812643024,0.007564259562528605,0.6063795413696627,0.035183357614645215
32.5,23.45943137763257,84.45395295947725,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1280.8350031944037,0.0,1378.9350031944036,3.369111295757193,0.006738222591514386,0.618108414780655,0.035738913170200774
33.0,23.46243251705474,84.46475706139707,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1281.2029750679903,0.0,1379.3029750679902,3.0011394221705814,0.006002278844341163,0.6298388807543268,0.03629446872575633
33.5,23.465105829715714,84.47438098697657,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1281.5308018291853,0.0,1379.6308018291852,2.6733126609756255,0.005346625321951251,0.6415707653410194,0.036850024281311886
34.0,23.467487090161637,84.48295352458189,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1281.8228540442376,0.0,1379.9228540442375,2.381260445923317,0.004762520891846634,0.6533039135709887,0.037405579836867445
34.5,23.469608176290766,84.49058943464676,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1282.0830283610305,0.0,1380.1830283610304,2.12108612913039,0.00424217225826078,0.6650381873876019,0.037961135392423004
35.0,23.47149749227655,84.49739097219559,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1282.3147985043745,0.0,1380.4147985043744,1.8893159857864248,0.0037786319715728497,0.6767734638047437,0.03851669094797856
35.5,23.473180345901003,84.50344924524362,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1282.5212608657107,0.0,1380.6212608657106,1.6828536244502175,0.003365707248900435,0.688509633264288,0.039072246503534115
36.0,23.474679285147985,84.50884542653274,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1282.7051752431778,0.0,1380.8051752431777,1.4989392469831273,0.0029978784939662544,0.7002465981720503,0.039627802059089674
36.5,23.47601439840373,84.51365183425344,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1282.8690012344143,0.0,1380.9690012344142,1.3351132557465917,0.0026702265114931832,0.7119842715929383,0.04018335761464523
37.0,23.4772035821586,84.51793289577097,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.0149307352901,0.0,1381.11493073529,1.1891837548707826,0.002378367509741565,0.7237225760880789,0.040738913170200786
37.5,23.478262779696017,84.52174600690566,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.144916952745,0.0,1381.244916952745,1.059197537415912,0.002118395074831824,0.7354614426785425,0.041294468725756345
38.0,23.47920619388725,84.52514229799411,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.2607002989255,0.0,1381.3607002989254,0.9434141912354335,0.001886828382470867,0.7472008099219384,0.041850024281311904
38.5,23.48004647688088,84.52816731677117,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.3638314965312,0.0,1381.4638314965312,0.8402829936296712,0.0016805659872593424,0.7589406230896303,0.04240557983686746
39.0,23.48079489917954,84.53086163704634,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.4556921915,0.0,1381.5556921915,0.7484222986608984,0.0014968445973217968,0.7706808334336454,0.042961135392423015
39.5,23.4814615003311,84.53326140119196,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.537513338598,0.0,1381.637513338598,0.6666011515628725,0.001333202303125745,0.782421397533523,0.043516690947978574
40.0,23.482055223223377,84.53539880360415,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.6103915978858,0.0,1381.7103915978857,0.5937228922750819,0.0011874457845501638,0.7941622767144118,0.044072246503534133
40.5,23.482584033758375,84.53730252153015,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.6753039551609,0.0,1381.7753039551608,0.5288105350000478,0.0010576210700000957,0.8059034365286571,0.044627802059089686
41.0,23.48305502749146,84.53899809896926,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.7331207570753,0.0,1381.8331207570752,0.47099373308560644,0.0009419874661712129,0.8176448462939696,0.045183357614645245
41.5,23.483474524650102,84.54050828874037,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.7846173315188,0.0,1381.8846173315187,0.4194971586421161,0.0008389943172842322,0.8293864786820051,0.045738913170200804
42.0,23.48384815479452,84.54185335726027,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.8304843457447,0.0,1381.9304843457446,0.3736301444162109,0.0007472602888324218,0.8411283093518663,0.04629446872575636
42.5,23.484180932246144,84.54305135608612,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.8713370385342,0.0,1381.971337038534,0.33277745162672545,0.0006655549032534509,0.8528703166236264,0.046850024281311915
43.0,23.48447732328818,84.54411836383744,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.907723448126,0.0,1382.007723448126,0.29639104203488387,0.0005927820840697678,0.86461248118751,0.047405579836867474
