Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),PerMotor Power (Watts),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW),Total Power (kW)
20.0,22.394447252285683,80.62001010822846,3994.6948577174694,0,2,9.561978499624473,2,4.780989249812237,2000.0,169.68492042652022,29.400000000000002,116.7518418090949,0,146.1518418090949,23.533078617425332,0.15688719078283556,4.0,4.0
20.5,22.4728908476771,80.90240705163757,4008.687532937394,0,2,9.528601575505094,2,4.764300787752547,2000.0,169.09262033784074,29.400000000000002,117.57119441780347,0,146.97119441780347,22.121425920037268,0.14747617280024847,4.0,4.0
21.0,22.546628934077223,81.167864162678,4021.8408450616944,0,2,9.497438564471326,2,4.748719282235663,2000.0,168.5396078992828,29.400000000000002,118.34400981557668,0,147.74400981557667,20.795598083706125,0.13863732055804084,4.0,4.0
21.5,22.615947594356243,81.41741133968247,4034.2058252123966,0,2,9.468328587335733,2,4.734164293667867,2000.0,168.02302818159524,29.400000000000002,119.07281577715572,0,148.47281577715572,19.55021240443952,0.13033474936293013,3.9999999999999996,4.0
22.0,22.681114969037708,81.65201388853575,4045.8303039770794,0,2,9.44112418766224,2,4.72056209383112,1999.9999999999998,167.54026445293496,29.400000000000002,119.7600160299711,0,149.1600160299711,18.38024842296386,0.12253498948642573,3.9999999999999996,3.9999999999999996
22.5,22.74238246378092,81.87257686961132,4056.7591267981456,0,2,9.415689999865126,2,4.707844999932563,1999.9999999999998,167.08891454322372,29.400000000000002,120.40789478326644,0,149.80789478326645,17.281019759957275,0.11520679839971516,4.0,3.9999999999999996
23.0,22.79998586298078,82.07994910673081,4067.0343526154397,0,2,9.391901575036101,2,4.695950787518051,2000.0,166.66677000751451,29.400000000000002,121.01862128895141,0,150.4186212889514,16.2481487185631,0.10832099145708735,3.9999999999999996,4.0
23.5,22.854146358709322,82.27492689135356,4076.6954374076154,0,2,9.369644342709252,2,4.684822171354626,2000.0,166.27179770168425,29.400000000000002,121.59425440189773,0,150.99425440189773,15.277543299786515,0.10185028866524344,4.0,4.0
24.0,22.905071503041942,82.45825741095099,4085.7794040669523,0,2,9.348812690189222,2,4.674406345094611,2000.0,165.90212344437933,29.400000000000002,122.13674711212042,0,151.53674711212042,14.365376332258904,0.09576917554839269,4.0,4.0
24.5,22.952956090816137,82.6306419269381,4094.3209998648113,0,2,9.32930914388884,2,4.66465457194442,2000.0,165.55601748920017,29.400000000000002,122.64795102552395,0,152.04795102552396,13.508066463676215,0.0900537764245081,4.0,4.0
25.0,22.997982979028393,82.79273872450221,4102.352842614677,0,2,9.31104363946167,2,4.655521819730835,2000.0,165.2318815726222,29.400000000000002,123.12962077367358,0,152.52962077367357,12.702260798948629,0.08468173865965753,4.0,4.0
25.5,23.04032384835822,82.9451658540896,4109.905556511908,0,2,9.293932869463058,2,4.646966434731529,1999.9999999999998,164.92823733772195,29.400000000000002,123.58341833641045,0,152.98341833641044,11.944819001311515,0.0796321266754101,4.0,3.9999999999999996
26.0,23.080139911695927,83.08850368210534,4117.00789852008,0,2,9.277899698901582,2,4.638949849450791,2000.0,164.64371596267225,29.400000000000002,124.0109172641017,0,153.4109172641017,11.232798698570548,0.07488532465713699,4.0,4.0
26.5,23.117582574024496,83.22329726648819,4123.686876079926,0,2,9.262872640409116,2,4.631436320204558,2000.0000000000002,164.37704884721714,29.400000000000002,124.4136067889353,0,153.8136067889353,10.56344205828185,0.07042294705521233,4.0,4.000000000000001
27.0,23.152794047552103,83.35005857118757,4129.9678568359495,0,2,9.248785381908155,2,4.624392690954077,2000.0,164.12705923075256,29.400000000000002,124.79289581696811,0,154.1928958169681,9.93416341378446,0.0662277560918964,4.0,4.0
27.5,23.185907925598052,83.469268532153,4135.874671005508,0,2,9.235576360627107,2,4.617788180313553,2000.0000000000002,163.8926546328888,29.400000000000002,125.1501167946438,0,154.5501167946438,9.342537838244994,0.06228358558829996,4.0,4.000000000000001
28.0,23.2170497183922,83.58137898621192,4141.429706954082,0,2,9.223188378138127,2,4.611594189069064,1999.9999999999998,163.67282002198996,29.400000000000002,125.48652944524385,0,154.88652944524384,8.786290576746126,0.05857527051164084,3.9999999999999996,3.9999999999999996
28.5,23.24633735364802,83.68681447313287,4146.654000486898,0,2,9.21156825179284,2,4.60578412589642,2000.0000000000002,163.46661162962394,29.400000000000002,125.80332437224696,0,155.20332437224695,8.263287257376987,0.05508858171584658,4.000000000000001,4.000000000000001
29.0,23.27388164450594,83.7859739202214,4151.5673183201125,0,2,9.200666498528793,2,4.600333249264397,2000.0,163.27315133945575,29.400000000000002,126.10162652787298,0,155.501626527873,7.771524811582765,0.051810165410551764,4.0,4.0
29.5,23.299786727211217,83.87923221796038,4156.188236153257,0,2,9.190437047530873,2,4.595218523765436,2000.0,163.09162158819586,29.400000000000002,126.38249854620264,0,155.78249854620265,7.309123041993217,0.04872748694662145,4.0,4.0
30.0,23.32415047068453,83.96694169446431,4160.534211727969,0,2,9.180836978670266,2,4.590418489335133,2000.0,162.92126072399137,29.400000000000002,126.64694394121085,0,156.04694394121086,6.874316782780511,0.04582877855187007,4.0,4.0
30.5,23.347064859960465,84.04943349585767,4164.621653225278,0,2,9.17182628402107,2,4.585913142010535,2000.0,162.7613587743481,29.400000000000002,126.89591017084992,0,156.2959101708499,6.465448603498203,0.04310299068998802,4.0,4.0
31.0,23.36861635530546,84.12701887909965,4168.4659833246515,0,2,9.163367650079724,2,4.581683825039862,2000.0,162.6112535814416,29.400000000000002,127.13029156898973,0,156.53029156898972,6.080962012451863,0.040539746749679084,3.9999999999999996,4.0
31.5,23.3888862286803,84.19999042324908,4172.081699221761,0,2,9.15542625859412,2,4.57771312929706,2000.0000000000002,162.47032726767048,29.400000000000002,127.35093214757225,0,156.75093214757226,5.719395120098227,0.038129300800654846,4.0,4.000000000000001
32.0,23.407950879080627,84.26862316469025,4175.482428878555,0,2,9.147969604152742,2,4.573984802076371,2000.0,162.33800299863108,29.400000000000002,127.55862827179277,0,156.95862827179278,5.379374726838307,0.03586249817892205,4.0,4.0
