Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW)
26,15.394490186161747,55.42016467018229,2746.050844258537,60,2,76.50423710127149,2,38.25211855063574,1357.6285896617226,29.400000000000002,55.1713572071942,1273.0572324336108,1357.628589640805,2.0917468646075577e-08,1.3944979097383717e-10,22.0
27,15.394490186301196,55.42016467068431,2746.050844283412,60,2,76.50423710057846,2,38.25211855028923,1357.6285896494242,29.400000000000002,55.171357208193726,1273.0572324336108,1357.6285896418046,7.61951923777815e-09,5.0796794918521e-11,21.999999999999996
28,15.394490186351993,55.42016467086717,2746.050844292473,60,2,76.50423710032604,2,38.25211855016302,1357.6285896449447,29.400000000000002,55.171357208557815,1273.0572324336108,1357.6285896421687,2.7760052034864202e-09,1.8506701356576134e-11,22.0
29,15.394490186370499,55.420164670933794,2746.050844295774,60,2,76.50423710023408,2,38.25211855011704,1357.628589643313,29.400000000000002,55.17135720869046,1273.0572324336108,1357.6285896423012,1.0118128557223827e-09,6.745419038149218e-12,22.0
30,15.394490186377244,55.42016467095808,2746.0508442969776,60,2,76.50423710020054,2,38.25211855010027,1357.628589642718,29.400000000000002,55.17135720873881,1273.0572324336108,1357.6285896423497,3.6834535421803594e-10,2.4556356947869064e-12,22.0
31,15.394490186379699,55.42016467096692,2746.0508442974156,60,2,76.50423710018835,2,38.252118550094174,1357.6285896425015,29.400000000000002,55.17135720875641,1273.0572324336108,1357.6285896423672,1.3437784218695015e-10,8.958522812463343e-13,22.000000000000004
32,15.394490186380594,55.42016467097014,2746.050844297575,60,2,76.5042371001839,2,38.25211855009195,1357.6285896424224,29.400000000000002,55.17135720876282,1273.0572324336108,1357.6285896423735,4.888534022029489e-11,3.259022681352993e-13,22.000000000000004
33,15.394490186380919,55.42016467097131,2746.050844297633,60,2,76.50423710018228,2,38.25211855009114,1357.6285896423935,29.400000000000002,55.17135720876515,1273.0572324336108,1357.628589642376,1.750777300912887e-11,1.1671848672752578e-13,22.0
34,15.394490186381036,55.42016467097173,2746.050844297654,60,2,76.5042371001817,2,38.25211855009085,1357.6285896423833,29.400000000000002,55.17135720876599,1273.0572324336108,1357.6285896423767,6.59383658785373e-12,4.395891058569153e-14,22.0
35,15.39449018638108,55.42016467097189,2746.050844297662,60,2,76.50423710018147,2,38.252118550090735,1357.6285896423794,29.400000000000002,55.17135720876631,1273.0572324336108,1357.6285896423772,2.2737367544323206e-12,1.5158245029548804e-14,22.0
36,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
37,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
38,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
39,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
40,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
41,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
42,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
43,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
44,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
45,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
46,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
47,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
48,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
49,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
50,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
51,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
52,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
53,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
54,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
55,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
56,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
57,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
58,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
59,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
60,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
61,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
